阿拉伯语	ālābóyǔ
从早到晚	cóngzǎodàowǎn
丛林	cónglín
凑	còu
凑合	còuhe
凑巧	còuqiǎo
粗暴	cūbào
粗糙	cūcāo
粗鲁	cūlǔ
粗略	cūlüè
粗心大意	cūxīndàyì
促成	cùchéng
簇拥	cùyōng
窜	cuàn
催	cuī
催促	cuīcù
催眠	cuīmián
摧毁	cuīhuǐ
脆弱	cuìruò
翠绿	cuìlǜ
存放	cúnfàng
存心	cúnxīn
存折	cúnzhé
搓	cuō
磋商	cuōshāng
挫折	cuòzhé
措手不及	cuòshǒubùjí
错别字	cuòbiézì
错觉	cuòjué
错位	cuòwèi
错综复杂	cuòzōngfùzá
搭乘	dāchéng
搭建	dājiàn
达标	dábiāo
答辩	dábiàn
打岔	dǎchà
打倒	dǎdǎo
打盹儿	dǎdǔnr
打交道	dǎjiāodào
打搅	dǎjiǎo
打捞	dǎlāo
打量	dǎliang
打猎	dǎliè
打磨	dǎmó
打通	dǎtōng
打仗	dǎzhàng
打招呼	dǎzhāohu
大包大揽	dàbāodàlǎn
大笔	dàbǐ
大臣	dàchén
大吃一惊	dàchīyījīng
大大咧咧	dàdàliēliē
大地	dàdì
大队	dàduì
大幅度	dàfúdù
大公无私	dàgōngwúsī
大家庭	dàjiātíng
大街小巷	dàjiēxiǎoxiàng
大惊小怪	dàjīngxiǎoguài
大局	dàjú
大款	dàkuǎn
大面积	dàmiànjī
大名鼎鼎	dàmíngdǐngdǐng
大模大样	dàmúdàyàng
大棚	dàpéng
大片	dàpiàn
大气	dàqì
大厦	dàshà
大数据	dà shùjù
大肆	dàsì
大体	dàtǐ
大体上	dàtǐshàng
大同小异	dàtóngxiǎoyì
大腕儿	dàwànér
大选	dàxuǎn
大雁	dàyàn
大意	dàyì
大意	dàyì
大有可为	dàyǒukěwéi
大宗	dàzōng
歹徒	dǎitú
逮	dài
代号	dàihào
代理人	dàilǐrén
代言人	dàiyánrén
带队	dàiduì
带路	dàilù
带头	dàitóu
带头人	dàitóurén
待	dài
怠工	dàigōng
怠慢	dàimàn
逮捕	dàibǔ
担	dān
担当	dāndāng
担负	dānfù
单边	dānbiān
单薄	dānbó
单方面	dānfāngmiàn
单身	dānshēn
耽搁	dānge
耽误	dānwu
胆怯	dǎnqiè
胆子	dǎnzi
但愿	dànyuàn
担	dān
担子	dànzi
诞辰	dànchén
淡化	dànhuà
淡季	dànjì
蛋白质	dànbáizhì
当即	dāngjí
当今	dāngjīn
当面	dāngmiàn
当日	dàngrì
当事人	dāngshìrén
当务之急	dāngwùzhījí
当下	dāngxià
当心	dāngxīn
当着	dāngzhe
当之无愧	dāngzhīwúkuì
当众	dāngzhòng
当晚	dàngwǎn
当真	dàngzhēn
荡漾	dàngyàng
档次	dàngcì
导弹	dǎodàn
导航	dǎoháng
导火索	dǎohuǒsuǒ
导师	dǎoshī
导向	dǎoxiàng
岛屿	dǎoyǔ
捣乱	dǎoluàn
倒卖	dǎomài
倒霉	dǎoméi
倒塌	dǎotā
倒下	dǎoxià
到头来	dàotóulái
到位	dàowèi
倒计时	dàojìshí
倒数	dàoshù
盗	dào
盗窃	dàoqiè
悼念	dàoniàn
道具	dàojù
稻草	dàocǎo
得不偿失	débùchángshī
得当	dédàng
得力	délì
得失	déshī
得手	déshǒu
得体	détǐ
得天独厚	détiāndúhòu
得益于	deyìyú
得意扬扬	déyìyángyáng
得知	dézhī
得罪	dézui
德	dé
灯笼	dēnglóng
灯泡	dēngpào
登机	dēngjī
登陆	dēnglù
蹬	dēng
凳子	dèngzi
瞪	dèng
低调	dīdiào
低估	dīgū
低谷	dīgǔ
低价	dījià
低迷	dīmí
低碳	dītàn
低下	dīxià
堤	dī
堤坝	dībà
提防	dīfáng
笛子	dízi
抵触	dǐchù
抵挡	dǐdǎng
抵消	dǐxiāo
抵押	dǐyā
抵御	dǐyù
抵制	dǐzhì
底层	dǐcéng
底线	dǐxiàn
底蕴	dǐyùn
底子	dǐzi
地步	dìbù
地道	dìdao
地道	dìdao
地段	dìduàn
地理	dìlǐ
地毯	dìtǎn
地下水	dìxiàshuǐ
地狱	dìyù
地域	dìyù
地质	dìzhì
弟子	dìzǐ
帝国	dìguó
帝国主义	dìguózhǔyì
递交	dìjiāo
第一手	dìyīshǒu
第一线	dìyīxiàn
颠倒	diāndǎo
颠覆	diānfù
巅峰	diānfēng
典范	diǎnfàn
点火	diǎnhuǒ
点击率	diǎnjīlǜ
点评	diǎnpíng
点心	diǎnxin
点缀	diǎnzhuì
点子	diǎnzi
电报	diànbào
电铃	diànlíng
电网	diànwǎng
电线	diànxiàn
电信	diànxìn
电讯	diànxùn
垫	diàn
垫底	diàndǐ
垫子	diànzi
淀粉	diànfěn
惦记	diànjì
奠定	diàndìng
殿堂	diàntáng
刁难	diāonàn
叼	diāo
雕	diāo
雕刻	diāokè
雕塑	diāosù
吊销	diàoxiāo
钓鱼	diàoyú
调度	diàodù
掉队	diàoduì
掉头	diàotóu
爹	diē
迭起	diéqǐ
叠	dié
丁	dīng
叮嘱	dīngzhǔ
盯	dīng
钉子	dīngzi
顶多	dǐngduō
顶级	dǐngjí
顶尖	dǐngjiān
订单	dìngdān
订购	dìnggòu
订婚	dìnghūn
订立	dìnglì
钉	dīng
定金	dìngjīn
定居	dìngjū
定论	dìnglùn
定为	dìngwèi
定向	dìngxiàng
定心丸	dìngxīnwán
定义	dìngyì
定做	dìngzuò
丢掉	diūdiào
丢脸	diūliǎn
丢弃	diūqì
丢人	diūrén
丢失	diūshī
东奔西走	dōngbēnxīzǒu
东道主	dōngdàozhǔ
东张西望	dōngzhāngxīwàng
董事	dǒngshì
董事会	dǒngshìhuì
董事长	dǒngshìzhǎng
懂事	dǒngshì
动不动	dòngbudòng
动荡	dòngdàng
动感	dònggǎn
动工	dònggōng
动静	dòngjìng
动脉	dòngmài
动身	dòngshēn
动弹	dòngtan
动听	dòngtīng
动向	dòngxiàng
动用	dòngyòng
冻结	dòngjié
栋	dòng
栋梁	dòngliáng
兜	dōu
兜儿	dōur
兜售	dōushòu
抖	dǒu
陡	dǒu
斗	dòu
斗志	dòuzhì
豆浆	dòujiāng
豆子	dòuzi
逗	dòu
都会	dōu huì
督促	dūcù
独	dú
独唱	dúchàng
独家	dújiā
独立自主	dúlìzìzhǔ
独身	dúshēn
独一无二	dúyīwúèr
堵塞	dǔsè
杜绝	dùjué
妒忌	dùjì
度	dù
度假	dùjià
渡过	dùguò
端正	duānzhèng
短缺	duǎnquē
短暂	duǎnzàn
段落	duànluò
断定	duàndìng
断断续续	duànduànxùxù
断裂	duànliè
堆砌	duīqì
队形	duìxíng
对白	duìbái
对策	duìcè
对称	duìchèn
对得起	duìdeqǐ
对联	duìlián
对弈	duìyì
对照	duìzhào
对峙	duìzhì
对准	duìzhǔn
兑换	duìhuàn
兑现	duìxiàn
敦促	dūncù
敦厚	dūnhòu
炖	dùn
顿时	dùnshí
多边	duōbiān
多功能	duōgōngnéng
多亏	duōkuī
多劳多得	duōláoduōdé
多年来	duōnián lái
多心	duōxīn
多余	duōyú
多元	duōyuán
哆嗦	duōsuo
夺冠	duóguàn
夺魁	duókuí
躲避	duǒbì
躲藏	duǒcáng
舵手	duòshǒu
堕落	duòluò
讹诈	ézhà
俄语	éyǔ
鹅	é
额外	éwài
厄运	èyùn
恶	è
恶化	èhuà
恶劣	èliè
恶性	èxìng
恶意	èyì
遏制	èzhì
鳄鱼	èyú
恩赐	ēncì
恩惠	ēnhuì
恩情	ēnqíng
恩怨	ēnyuàn
而已	éryǐ
耳光	ěrguāng
耳目一新	ěrmùyīxīn
耳熟能详	ěrshúnéngxiáng
耳闻目睹	ěrwénmùdǔ
二手车	èrshǒuchē
二氧化碳	èryǎnghuàtàn
发布会	fābùhuì
发财	fācái
发愁	fāchóu
发电机	fādiànjī
发抖	fādǒu
发愤图强	fāfèntúqiáng
发光	fāguāng
发火	fāhuǒ
发酵	fājiào
发掘	fājué
发愣	fālèng
发脾气	fāpíqì
发起人	fāqǐrén
发热	fārè
发誓	fāshì
发泄	fāxiè
发扬	fāyáng
发扬光大	fāyángguāngdà
发育	fāyù
发源地	fāyuándì
发作	fāzuò
阀门	fámén
发型	fàxíng
帆	fān
帆船	fānchuán
翻番	fānfān
翻来覆去	fānláifùqù
翻天覆地	fāntiānfùdì
凡	fán
烦闷	fánmèn
烦恼	fánnǎo
烦躁	fánzào
繁华	fánhuá
繁忙	fánmáng
繁体字	fántǐzì
繁重	fánzhòng
反驳	fǎnbó
反差	fǎnchā
反常	fǎncháng
反倒	fǎndào
反感	fǎngǎn
反过来	fǎnguolái
反击	fǎnjī
反馈	fǎnkuì
反面	fǎnmiàn
反思	fǎnsī
反弹	fǎndàn
反省	fǎnxǐng
返还	fǎnhuán
犯愁	fànchóu
饭碗	fànwǎn
泛滥	fànlàn
范畴	fànchóu
贩卖	fànmài
方方面面	fāngfāngmiànmiàn
方向盘	fāngxiàngpán
方言	fāngyán
防盗	fángdào
防盗门	fángdàomén
防护	fánghù
防火墙	fánghuǒqiáng
防卫	fángwèi
防汛	fángxùn
防疫	fángyì
防御	fángyù
妨碍	fángài
妨害	fánghài
房地产	fángdìchǎn
仿	fǎng
仿制	fǎngzhì
访谈	fǎngtán
纺织	fǎngzhī
放过	fàngguò
放水	fàngshuǐ
放肆	fàngsì
放映	fàngyìng
放置	fàngzhì
放纵	fàngzòng
飞速	fēisù
飞往	fēiwǎng
飞翔	fēixiáng
飞跃	fēiyuè
非	fēi
非得	fēiděi
非法	fēifǎ
非凡	fēifán
绯闻	fēiwén
肥料	féiliào
肥胖	féipàng
肥沃	féiwò
肥皂	féizào
诽谤	fěibàng
废	fèi
废除	fèichú
废话	fèihuà
废品	fèipǐn
废寝忘食	fèiqǐnwàngshí
废物	fèiwù
废墟	fèixū
沸沸扬扬	fèifèiyángyáng
沸腾	fèiténg
费劲	fèijìn
分辨	fēnbiàn
分寸	fēncùn
分担	fēndān
分割	fēngē
分红	fēnhóng
分化	fēnhuà
分泌	fēnmì
分明	fēnmíng
分歧	fēnqí
分赃	fēnzāng
分支	fēnzhī
芬芳	fēnfāng
吩咐	fēnfù
氛围	fēnwéi
坟	fén
坟墓	fénmù
焚烧	fénshāo
粉	fěn
粉丝	fěnsī
粉碎	fěnsuì
分量	fènliang
分外	fènwài
份额	fèné
奋力	fènlì
奋勇	fènyǒng
粪	fèn
粪便	fènbiàn
丰富多彩	fēngfùduōcǎi
丰厚	fēnghòu
丰满	fēngmǎn
丰盛	fēngshèng
丰硕	fēngshuò
风波	fēngbō
风采	fēngcǎi
风餐露宿	fēngcānlùsù
风范	fēngfàn
风风雨雨	fēngfēngyǔyǔ
风和日丽	fēnghérìlì
风浪	fēnglàng
风力	fēnglì
风流	fēngliú
风貌	fēngmào
风气	fēngqì
风情	fēngqíng
风趣	fēngqù
风沙	fēngshā
风尚	fēngshàng
风水	fēngshuǐ
风味	fēngwèi
风雨	fēngyǔ
风云	fēngyún
风筝	fēngzhēng
封顶	fēngdǐng
封建	fēngjiàn
封面	fēngmiàn
封锁	fēngsuǒ
疯子	fēngzi
峰回路转	fēnghuílùzhuǎn
蜂蜜	fēngmì
逢	féng
缝	féng
缝合	fènghé
讽刺	fěngcì
凤凰	fènghuáng
缝	féng
否决	fǒujué
孵化	fūhuà
敷	fū
扶持	fúchí
服饰	fúshì
服务器	fúwùqì
服用	fúyòng
俘获	fúhuò
俘虏	fúlǔ
浮力	fúlì
浮现	fúxiàn
浮躁	fúzào
辐射	fúshè
福气	fúqi
抚摸	fǔmō
抚恤	fǔxù
抚养	fǔyǎng
抚养费	fǔyǎngfèi
斧子	fǔzi
俯首	fǔshǒu
辅导	fǔdǎo
腐败	fǔbài
腐化	fǔhuà
腐烂	fǔlàn
腐蚀	fǔshí
腐朽	fǔxiǔ
付费	fùfèi
付款	fùkuǎn
负面	fùmiàn
负有	fùyǒu
附	fù
附带	fùdài
附和	fùhè
附加	fùjiā
附属	fùshǔ
赴	fù
复查	fùchá
复发	fùfā
复合	fùhé
复活	fùhuó
复兴	fùxīng
复原	fùyuán
副作用	fùzuòyòng
赋予	fùyǔ
富含	fùhán
富豪	fùháo
富强	fùqiáng
富翁	fùwēng
富裕	fùyù
富足	fùzú
腹部	fùbù
腹泻	fùxiè
覆盖	fùgài
该	gāi
改版	gǎibǎn
改编	gǎibiān
改动	gǎidòng
改革开放	gǎigékāifàng
改良	gǎiliáng
改名	gǎimíng
改日	gǎirì
改为	gǎiwéi
改邪归正	gǎixiéguīzhèng
钙	gài
盖子	gàizi
概况	gàikuàng
概率	gàilǜ
概论	gàilùn
干戈	gāngē
干旱	gānhàn
干燥	gānzào
甘心	gānxīn
肝脏	gānzàng
尴尬	gāngà
赶赴	gǎnfù
赶往	gǎnwǎng
敢情	gǎnqing
感	gǎn
感触	gǎnchù
感恩	gǎnēn
感激	gǎnjī
感慨	gǎnkǎi
感染	gǎnrǎn
感染力	gǎnrǎnlì
感叹	gǎntàn
感性	gǎnxìng
干部	gànbù
干事	gànshi
刚毅	gāngyì
纲领	gānglǐng
纲要	gāngyào
钢	gāng
缸	gāng
港	gǎng
杠铃	gànglíng
高昂	gāoáng
高傲	gāoào
高超	gāochāo
高低	gāodī
高调	gāodiào
高额	gāoé
高尔夫球	gāoěrfūqiú
高峰期	gāofēngqī
高贵	gāoguì
高空	gāokōng
高龄	gāolíng
高明	gāomíng
高山	gāoshān
高效	gāoxiào
高新技术	gāoxīnjìshù
高血压	gāoxuèyā
高压	gāoyā
高雅	gāoyǎ
高涨	gāozhǎng
搞鬼	gǎoguǐ
搞笑	gǎoxiào
告	gào
告辞	gàocí
告诫	gàojiè
告示	gàoshi
告知	gàozhī
告状	gàozhuàng
戈壁	gēbì
胳膊	gēbo
鸽子	gēzi
搁	gē
搁浅	gēqiǎn
搁置	gēzhì
割	gē
歌剧	gējù
歌颂	gēsòng
歌舞	gēwǔ
歌咏	gēyǒng
革命	gémìng
格	gé
格格不入	gégébùrù
格局	géjú
格式	géshì
隔阂	géhé
隔离	gélí
个案	gèàn
个头儿	gètóur
各奔前程	gèbènqiánchéng
各式各样	gèshìgèyàng
根基	gēnjī
根深蒂固	gēnshēndìgù
根源	gēnyuán
根治	gēnzhì
跟不上	gēnbushàng
跟上	gēnshàng
跟踪	gēnzōng
更改	gēnggǎi
更衣室	gēngyīshì
耕地	gēngdì
耿直	gěngzhí
工地	gōngdì
